"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-01","6.04",",,W","0.12",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"70",",,W","54",",,W","  250",",,W","  260",",,W","16.1",",,W","31.1",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-02","11.41",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"64",",,W","35",",,W","  270",",,W","  290",",,W","25.9",",,W","47.0",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-03","8.28",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"39",",,W","24",",,W","  310",",,W","  300",",,W","18.1",",,W","35.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-04","8.95",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"30",",,W","17",",,W","  310",",,W","  260",",,W","19.9",",,W","34.0",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-05","5.37",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"37",",,W","14",",,W","  350",",,W","  300",",,W","14.1",",,W","23.0",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-06","3.36",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"45",",,W","26",",,W","  180",",,W","  180",",,W","10.1",",,W","16.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-07","4.25",",,W","0.10",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"56",",,W","42",",,W","  160",",,W","  160",",,W","13.0",",,W","19.9",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-08","7.61",",,W","0.02",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"59",",,W","47",",,W","  250",",,W","  270",",,W","17.0",",,W","31.1",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-09","8.72",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"61",",,W","47",",,W","  280",",,W","  270",",,W","23.0",",,W","38.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-10","7.61",",,W","0.31",",,W,2400","2.1",",,W,2400","0",",,W,2400",,,"47",",,W","23",",,W","  310",",,W","  290",",,W","19.9",",,W","33.1",",,W","    1",",,W","    1",",,W",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-11","9.62",",,W","0.00",",,W,2400","0.0",",,W,2400","1",",,W,2400",,,"29",",,W","17",",,W","  290",",,W","  330",",,W","18.1",",,W","32.0",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-12","8.95",",,W","0.00",",,W,2400","0.0",",,W,2400","0","T,,W,2400",,,"29",",,W","19",",,W","  280",",,W","  300",",,W","17.0",",,W","25.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-13","4.47",",,W","0.00",",,W,2400","0.0","T,,W,2400","0",",,W,2400",,,"36",",,W","20",",,W","  170",",,W","  180",",,W","14.1",",,W","21.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-14","13.42",",,W","1.97",",,W,2400","7.6",",,W,2400","4",",,W,2400",,,"32",",,W","21",",,W","   60",",,W","   40",",,W","28.0",",,W","38.0",",,W","    1",",,W","    1",",,W",,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-15","11.63",",,W","0.00",",,W,2400","0.0",",,W,2400","6",",,W,2400",,,"26",",,W","20",",,W","  280",",,W","  290",",,W","21.0",",,W","36.0",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-16","7.83",",,W","0.00",",,W,2400","0.0",",,W,2400","5",",,W,2400",,,"39",",,W","24",",,W","  290",",,W","  280",",,W","19.9",",,W","34.0",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-17","6.49",",,W","0.00",",,W,2400","0.0",",,W,2400","4",",,W,2400",,,"47",",,W","29",",,W","  280",",,W","  290",",,W","15.0",",,W","21.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-18","8.72",",,W","0.08",",,W,2400","0.0","T,,W,2400","3",",,W,2400",,,"39",",,W","34",",,W","   70",",,W","   60",",,W","19.9",",,W","27.1",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-19","8.28",",,W","0.00",",,W,2400","0.0",",,W,2400","3",",,W,2400",,,"47",",,W","34",",,W","   60",",,W","   70",",,W","18.1",",,W","29.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-20","5.14",",,W","0.00",",,W,2400","0.0",",,W,2400","0","T,,W,2400",,,"52",",,W","33",",,W","   40",",,W","   40",",,W","14.1",",,W","21.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-21","4.03",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"59",",,W","42",",,W","  270",",,W","  270",",,W","13.0",",,W","18.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-03-22","11.41",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"50",",,W","24",",,W","  310",",,W","  310",",,W","23.9",",,W","42.1",",,W",,,,,,,,,,
